MSG	TID	OLD_DEBUG	OLD_RELEASE
"微软IIS UNC映射虚拟主机漏洞"	12890	d:80001	r:80001
"微软IIS WebHits认证绕过漏洞"	12891	d:80002	NONE
"微软MS06-035 SRV.SYS邮件槽堆溢出漏洞"	12892	d:80003	NONE
"微软Windows NetDDE服务远程缓冲区溢出漏洞"	12893	d:80004	NONE
"Play and Plug 洪水攻击"	12894	d:80005	NONE
"微软即插即用服务溢出漏洞, PNP_QueryResConfList"	12895	d:80006	NONE
"微软即插即用服务溢出漏洞, PNP_GetDeviceList"	12896	d:80007	NONE
"微软PCT缓冲区溢出漏洞"	12897	d:80008	NONE
"微软SMB SRV.SYS Search命令缓冲区溢出漏洞"	12898	d:80009	NONE
"DCERPC NamedPipe洪水攻击"	12899	d:80010	r:80010
"微软SNA DCERPC服务代码执行漏洞"	12900	d:80011	NONE
"微软Windows活动目录整数溢出漏洞"	12901	d:80012	NONE
"微软IGMPv3查询源地址表溢出漏洞"	12902	d:80013	NONE
"微软Windows PPTP服务缓冲区漏洞"	12903	d:80014	NONE
"Minishare 1.4.1缓冲区溢出漏洞攻击"	12904	d:80015	NONE
"MySQL yaSSL Hello消息栈溢出漏洞"	12905	d:80016	NONE
"NetWin SurgeMail IMAPd Append命令拒绝服务漏洞"	12906	d:80017	r:80017
"NetWin SurgeMail WebMail服务HTTP头溢出漏洞"	12907	d:80018	NONE
"NetWin SurgeMail WebMail page参数字符串格式化漏洞"	12908	d:80019	NONE
"Nimda蠕虫TFTP请求Admin.dll文件访问攻击"	12909	d:80020	r:80020
"Novell eDirectory evtFiltedMonitorEventsRequest()整数堆溢出漏洞"	12910	d:80021	NONE
"Novell eDirectory evtFiltedMonitorEventsRequest无效free代码执行漏洞"	12911	d:80022	NONE
"Novell eDirectory Host Header溢出漏洞"	12912	d:80023	NONE
"Novell eDirectory iMonitor 8.8 NDS 溢出攻击"	12913	d:80024	NONE
"Novell Messenger Server 2.0 Accept-Language 溢出攻击"	12914	d:80025	NONE
"Novell NetMail WebAdmin 缓冲区溢出攻击"	12915	d:80026	NONE
"OpenSSL Large Client Master Key利用攻击"	12916	d:80027	NONE
"Oracle 9i XDB TEST Command 溢出攻击"	12917	d:80028	NONE
"Oracle OPMN Service Log格式字符串攻击"	12918	d:80029	NONE
"Oracle TimesTen Data Server Log格式字符串攻击"	12919	d:80030	r:80030
"Oracle WebLogic IIS Connector JSESSIONID Tag溢出攻击"	12920	d:80031	r:80031
"Oracle Weblogic mod_wl POST Request缓冲区溢出攻击"	12921	d:80032	r:80032
"Peercast - HTTP Basic Authentication 溢出利用攻击"	12922	d:80033	NONE
"Peercast - URL 格式字符串攻击"	12923	d:80034	NONE
"PeerCast 0.1216 URL Handling 缓冲区溢出攻击 (win32)"	12924	d:80035	NONE
"PHP fopen() CRLF Header 注入攻击"	12925	d:80036	NONE
"PHP POST File Upload 溢出攻击"	12926	d:80037	NONE
"PHP POST File Upload PHP GLOBALS Variable 重写攻击"	12927	d:80038	NONE
"PHP Win32 escapeshellcmd()Input Validation执行远程命令攻击"	12928	d:80039	r:80039
"PoPToP PPTP Negative Read 溢出攻击"	12929	d:80040	NONE
"RealNetworks Helix Server 缓冲区溢出攻击"	12930	d:80041	NONE
"RealVNC 4.1.1 绕过认证攻击"	12931	d:80042	NONE
"Samba Web Administration Tool (SWAT) Authentication Value 溢出攻击"	12932	d:80043	NONE
"SAP Message Server Server Group Parameter 溢出攻击"	12933	d:80044	NONE
"Sendmail headers.c Address Field 溢出攻击"	12934	d:80045	NONE
"Sendmail prescan() Remote 缓冲区溢出攻击"	12935	d:80046	NONE
"SentinelLM UDP 缓冲区溢出攻击"	12936	d:80047	NONE
"Snort IDS Back Orifice Parser 缓冲区溢出(xort)"	12937	d:80049	NONE
"Solaris LPD Arbitrary 删除文件命令攻击"	12938	d:80050	NONE
"Solaris LPD Sendmail Parameter命令执行攻击"	12939	d:80051	NONE
"Solaris rwalld 格式化字符串攻击"	12940	d:80052	NONE
"X97EmbedAn Excel Document (http)攻击"	12941	d:80053	NONE
"Microsoft IIS .htr ISAPI缓存区溢出攻击"	12942	d:80054	r:80054
"Microsoft IIS .htr ISAPI Chunked Encoding溢出攻击"	12943	d:80055	r:80055
"Microsoft IIS ASP Engine HTMLEncode缓存区溢出攻击"	12944	d:80056	NONE
"Microsoft IIS Form_JScript.asp跨站攻击"	12945	d:80057	r:80057
"Microsoft IIS IDA Path遍历攻击"	12946	d:80058	r:80058
"Microsoft IIS IDQ Path遍历攻击"	12947	d:80059	r:80059
"Microsoft IIS NTDLL.DLL WebDAV(LOCK)缓存区溢出攻击"	12948	d:80060	r:80060
"Microsoft IIS NTDLL.DLL WebDAV(MKCOL)缓存区溢出攻击"	12949	d:80061	r:80061
"Microsoft IIS NTDLL.DLL WebDAV(PROPFIND)缓存区溢出攻击"	12950	d:80062	r:80062
"Microsoft IIS NTDLL.DLL WebDAV(PROPPATCH)缓存区溢出攻击"	12951	d:80063	r:80063
"Microsoft IIS NTDLL.DLL WebDAV(SEARCH)缓存区溢出攻击"	12952	d:80064	r:80064
"Microsoft IIS NTDLL.DLL WebDAV(UNLOCK)缓存区溢出攻击"	12953	d:80065	r:80065
"Microsoft IIS RSA SecurID Web Agent溢出攻击"	12954	d:80066	r:80066
"Microsoft IIS RSA SecurID Web Agent Stack溢出攻击"	12955	d:80067	r:80067
"Microsoft Exchange Server EXCH50溢出攻击"	12956	d:80068	NONE
"Microsoft ASN.1 Library Bitstring Heap(HTTP)溢出攻击"	12957	d:80069	NONE
"MailEnable APPEND Command溢出攻击"	12958	d:80070	NONE
"Macromedia Coldfusion Remote SYSTEM(Filename)缓存区溢出攻击"	12959	d:80071	NONE
"Squid NTLM Authentication Password溢出攻击"	12960	d:80072	r:80072
"Subversion Date Conversion 缓存区溢出攻击1"	12961	d:80073	NONE
"Subversion Date Conversion 缓存区溢出攻击"	12962	d:80074	NONE
"Synergy Clipboard Integer溢出攻击1"	12963	d:80075	r:80075
"Synergy Clipboard Integer溢出攻击"	12964	d:80076	NONE
"Tellurian TftpdNT Long Filename(custom netascii)缓存区溢出攻击"	12965	d:80077	NONE
"Tellurian TftpdNT Long Filename(custom NETASCII)缓存区溢出攻击"	12966	d:80078	NONE
"Tellurian TftpdNT Long Filename(custom octet)缓存区溢出攻击"	12967	d:80079	NONE
"TippingPoint IPS Audit Log Telnet Failure跨站攻击"	12968	d:80081	NONE
"Trend Micro ServerProtect CMON_NetTestConnection溢出攻击1"	12969	d:80082	NONE
"Trend Micro ServerProtect CMON_NetTestConnection溢出攻击"	12970	d:80083	NONE
"UNIX rlogind Service -froot 绕过认证攻击"	12971	d:80084	NONE
"UNIX rlogind Service guest访问攻击"	12972	d:80085	NONE
"UNIX rlogind Service nobody访问攻击"	12973	d:80086	NONE
"Veritas Backup Exec Server远程注册访问攻击1"	12974	d:80087	NONE
"Veritas Backup Exec Server远程注册访问攻击"	12975	d:80088	NONE
"Veritas Netbackup bpjava-msvc(Linux)格式化字符攻击1"	12976	d:80089	NONE
"Veritas Netbackup bpjava-msvc(Linux)格式化字符攻击"	12977	d:80090	NONE
"Veritas Netbackup bpjava-msvc(OS X)格式化字符攻击1"	12978	d:80091	NONE
"Veritas Netbackup bpjava-msvc(OS X)格式化字符攻击"	12979	d:80092	NONE
"Veritas Netbackup bpjava-msvc(Win32)格式化字符攻击1"	12980	d:80093	NONE
"Veritas Netbackup bpjava-msvc(Win32)格式化字符攻击"	12981	d:80094	NONE
"Veritas NetBackup 栈溢出攻击"	12982	d:80095	NONE
"VLC HTTPd Connection Header 格式化字符攻击"	12983	d:80096	NONE
"WEBrick目录遍历攻击"	12984	d:80097	r:80097
"WS FTP 'STAT' Command缓存区溢出攻击"	12985	d:80098	NONE
"WS-FTP 5.05 MKD Command缓存区溢出攻击"	12986	d:80099	NONE
"WS-FTP 5.05 XMD5 Command缓存区溢出攻击"	12987	d:80100	NONE
"WS-FTP REST Command Largeat file攻击1"	12988	d:80101	NONE
"WS-FTP REST Command Largeat file攻击"	12989	d:80102	NONE
"Wu-FTPd File Globbing 堆溢出攻击"	12990	d:80103	NONE
"Xitami Web Server If-Modified-Since缓存区溢出攻击"	12991	d:80104	NONE
"Apache APR_PSPrintf 内存泄漏攻击"	12992	d:80105	NONE
"Apache Tomcat mod_jk Arbitrary 执行代码攻击"	12993	d:80107	NONE
"Asterisk chan_skinny dlen内存泄漏攻击"	12994	d:80108	NONE
"Axigen Remote 格式化字符串攻击"	12995	d:80109	NONE
"Best Software SalesLogix Database Credentials泄漏攻击"	12996	d:80110	NONE
"Bootpd 缓存区溢出攻击"	12997	d:80111	NONE
"CA Brighstor ARCserve Backup Agent for MS SQL溢出攻击"	12998	d:80112	NONE
"CA BrightStor Discovery Service溢出攻击"	12999	d:80113	NONE
"CCProxy Telnet Ping Hostname Buffer 溢出攻击"	13000	d:80114	NONE
"Cisco IOS FTP Server (Randomized)远程执行攻击"	13001	d:80115	NONE
"Computer Associates BrightStor ARCserve Backup CheyenneDS Mailslot溢出攻击"	13002	d:80116	NONE
"Computer Associates BrightStor ARCServe BackUp LGServer Stack(2200)溢出攻击1"	13003	d:80117	NONE
"Computer Associates BrightStor ARCServe BackUp LGServer Stack (2200)溢出攻击"	13004	d:80118	NONE
"POP3 USER 命令溢出攻击"	13005	d:80119	NONE
"SMTP From comment溢出攻击"	13006	d:80120	NONE
"CA BrightStor ARCserve Backup Tape Engine服务远程缓冲区溢出变种"	13007	d:80121	NONE
"CVS Entry Heap 溢出攻击"	13008	d:80122	NONE
"DameWare Mini Remote Control Service Username溢出攻击"	13009	d:80123	NONE
"DoubleTake HP Storage Works Authentication Request溢出攻击(4.5.x)"	13010	d:80124	r:80125
"DoubleTake HP Storage Works Authentication Request溢出攻击(4.5.x)"	13011	d:80125	r:80125
"FreeSSHD Key Exchange Algorithm溢出攻击"	13012	d:80126	r:80126
"Grandstream GXV-3000 SIP Phone Remote Eavesdropping攻击"	13013	d:80127	r:80127
"Hummingbird Exceed LPD缓冲区溢出攻击"	13014	d:80128	r:80128
"IBM Lotus iNotes缓冲区溢出攻击"	13015	d:80129	r:80129
"IBM Tivoli Directory Server LDAP内存泄漏攻击"	13016	d:80130	r:80130
"Icecast Header重写攻击(win32)"	13017	d:80131	r:80131
"iPlanet Web Admin Server攻击"	13018	d:80132	r:80132
"Ipswitch IMail SMTP Server RCPT TO溢出攻击"	13019	d:80133	r:80133
"ISC BIND Inverse Query作息泄漏攻击"	13020	d:80134	r:80134
"Macromedia JRun 4 Web服务器URL解析堆栈溢出攻击"	13021	d:80135	NONE
"MaxDB WebDBM GET缓冲区溢出攻击"	13022	d:80136	NONE
"DNS SMB RPC洪水攻击(SMB)"	13023	d:80137	r:80137
"Microsoft DNS RPC服务extractQuotedChar()溢出攻击(SMB)"	13024	d:80138	r:80138
"DNS TCP RPC洪水攻击(TCP)"	13025	d:80139	r:80139
"Microsoft DNS RPC服务extractQuotedChar()溢出攻击(TCP)"	13026	d:80140	r:80140
"DTC洪水攻击"	13027	d:80141	r:80141
"微软DTC内存受损泄漏攻击"	13028	d:80142	r:80142
"微软DTC内存受损泄漏变种攻击1"	13029	d:80143	r:80143
"DeleGate POP3 Proxy缓存区溢出攻击"	13030	d:80144	r:80144
"Apache Win32批处理文件远程执行命令攻击"	13031	d:80145	r:80145
"Apache 2.0 for Windows目录遍历攻击"	13032	d:80146	NONE
"Novell ZENWorks桌面代理缓冲区溢出攻击1"	13033	d:80147	r:80147
"Novell ZENWorks桌面代理缓冲区溢出攻击"	13034	d:80148	r:80148
"PHP zip:// URL Wrapper (HTTP)缓冲区溢出漏洞攻击"	13035	d:80149	NONE
"IIS 5.0 Printer溢出攻击"	13036	d:80150	r:80150
"Oracle 9i XDB FTP UNLOCK命令参数溢出攻击"	13037	d:80151	r:80151
"DeepThroat v1木马客户端连接"	13038	d:80152	r:80152
"HVL RAT木马客户端命令"	13039	d:80153	r:80153
"IRC木马客户端连接"	13040	d:80154	r:80154
"Millenium木马客户端命令"	13041	d:80155	r:80155
"Netspy木马客户端命令"	13042	d:80156	r:80156
"Windows XP CMD.EXE Reverse Shell连接"	13043	d:80157	r:80157
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(HTTP)1"	13044	d:80158	NONE
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(HTTP)"	13045	d:80159	NONE
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(Quoted Printable)1"	13046	d:80160	NONE
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(Quoted Printable)"	13047	d:80161	NONE
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(Quoted Printable)1"	13048	d:80162	NONE
"Adobe Illustrator CS4.eps 远程缓冲区溢出漏洞攻击(Quoted Printable)"	13049	d:80163	NONE
"AOL 9.5 ActiveX控件ForceSaveTo成员缓冲区溢出漏洞攻击"	13050	d:80164	NONE
"AOL 9.5 ActiveX控件HiddenControls成员缓冲区溢出漏洞攻击"	13051	d:80165	NONE
"AOL 9.5 ActiveX控件Locale成员缓冲区溢出漏洞攻击"	13052	d:80166	NONE
"Dnsmasq超长文件名堆溢出漏洞攻击"	13053	d:80167	r:80167
"HP OpenView Data Protector Application Recovery Manager栈溢出漏洞攻击"	13054	d:80168	NONE
"微软License Logging服务LlsrLicenseRequestW 'data'参数丢失NULL结束符缓冲区溢出漏洞1"	13055	d:80169	r:80169
"微软License Logging服务LlsrLicenseRequestW 'data'参数丢失NULL结束符缓冲区溢出漏洞攻击"	13056	d:80170	r:80170
"Mozilla Firefox浏览器document.write()缓冲区溢出漏洞攻击"	13057	d:80171	NONE
"MySQL Commander dbopen.php home参数文件包含漏洞攻击"	13058	d:80172	NONE
"Microsoft SNA DCERPC Service命令执行攻击(1.1-0x01-AddUser)"	13059	d:80173	r:80176
"Microsoft SNA DCERPC Service命令执行攻击(1.0-0x01-Generic)"	13060	d:80174	r:80174
"Microsoft SNA DCERPC Service命令执行攻击(1.1-0x06-AddUser)"	13061	d:80175	r:80177
"Microsoft SNA DCERPC Service命令执行攻击(1.1-0x01-AddUser)"	13062	d:80176	r:80176
"Microsoft SNA DCERPC Service命令执行攻击(1.1-0x06-AddUser)"	13063	d:80177	r:80177
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (IMAP4 Quoted Printable) 1"	13064	d:80178	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (IMAP4 Quoted Printable) 2"	13065	d:80179	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (IMAP4 Quoted Printable) 3"	13066	d:80180	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (IMAP4 Quoted Printable) 4"	13067	d:80181	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (IMAP4 Quoted Printable) 5"	13068	d:80182	NONE
"Microsoft PowerPoint CurrentUser Length溢出攻击(IMAP4 Quoted Printable)"	13069	d:80183	r:80183
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (POP3 Base64) 1"	13070	d:80184	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (POP3 Base64) 2"	13071	d:80185	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (POP3 Base64) 3"	13072	d:80186	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (POP3 Base64) 4"	13073	d:80187	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (POP3 Base64) 5"	13074	d:80188	NONE
"Microsoft PowerPoint CurrentUser Length溢出攻击(POP3 Base64)"	13075	d:80189	r:80189
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (SMTP UUEncode) 1"	13076	d:80190	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (SMTP UUEncode) 2"	13077	d:80191	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (SMTP UUEncode) 3"	13078	d:80192	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (SMTP UUEncode) 4"	13079	d:80193	NONE
"Microsoft PowerPoint CurrentUser Length 溢出攻击 (SMTP UUEncode) 5"	13080	d:80194	NONE
"Microsoft PowerPoint CurrentUser Length溢出攻击(SMTP UUEncode)"	13081	d:80195	r:80195
"ProFTPD栈缓冲区溢出漏洞攻击"	13082	d:80196	r:80196
"Shellcode Mac OS X PPC INETD B-r00t(UDP)后门攻击"	13083	d:80197	r:80197
"TippingPoint IPS命令行接口应答DNS查询缓冲区溢出攻击"	13084	d:80198	r:80198
"Microsoft Word畸形对象指针缓冲区溢出漏洞攻击"	13085	d:80199	r:80199
"Microsoft Word畸形对象指针缓冲区溢出漏洞1"	13086	d:80200	r:80200
"UnrealIRCd后门未授权访问漏洞攻击"	13087	d:80201	r:80201
"Microsoft Word RTF堆叠缓冲区溢出(HTTP)"	13088	d:80202	r:80202
"Microsoft Word RTF 堆叠缓冲区溢出 (IMAP4)1"	13089	d:80203	NONE
"Microsoft Word RTF堆叠缓冲区溢出(IMAP4)2"	13090	d:80204	r:80204
"Microsoft Word RTF堆叠缓冲区溢出(IMAP4)3"	13091	d:80205	r:80205
"Microsoft Word RTF堆叠缓冲区溢出(IMAP4)4"	13092	d:80206	r:80206
"Microsoft Word RTF堆叠缓冲区溢出(IMAP4)"	13093	d:80207	r:80207
"Microsoft Word RTF 堆叠缓冲区溢出 1(IMAP4) 1"	13094	d:80208	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(IMAP4) 2"	13095	d:80209	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(IMAP4) 3"	13096	d:80210	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(IMAP4) 4"	13097	d:80211	NONE
"Microsoft Word RTF堆叠缓冲区溢出1(IMAP4)"	13098	d:80212	r:80212
"Microsoft Word RTF 堆叠缓冲区溢出1(POP3)"	13099	d:80213	NONE
"Microsoft Word RTF 堆叠缓冲区溢出2(POP3)"	13100	d:80214	NONE
"Microsoft Word RTF 堆叠缓冲区溢出3(POP3)"	13101	d:80215	NONE
"Microsoft Word RTF 堆叠缓冲区溢出4(POP3)"	13102	d:80216	NONE
"Microsoft Word RTF堆叠缓冲区溢出(POP3)"	13103	d:80217	r:80217
"Microsoft Word RTF 堆叠缓冲区溢出 1(POP3) 1"	13104	d:80218	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(POP3) 2"	13105	d:80219	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(POP3) 3"	13106	d:80220	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 1(POP3) 4"	13107	d:80221	NONE
"Microsoft Word RTF堆叠缓冲区溢出1(POP3)"	13108	d:80222	r:80222
"Microsoft Word RTF 堆叠缓冲区溢出 (SMTP)1"	13109	d:80223	NONE
"Microsoft Word RTF堆叠缓冲区溢出(SMTP)2"	13110	d:80224	r:80224
"Microsoft Word RTF 堆叠缓冲区溢出 (SMTP)3"	13111	d:80225	NONE
"Microsoft Word RTF 堆叠缓冲区溢出 (SMTP)"	13112	d:80227	NONE
"Microsoft Server Service NetpwPathCanonicalize缓冲区溢出(Windows xp)变体2"	13113	d:80228	r:80229
"Microsoft Server Service NetpwPathCanonicalize缓冲区溢出(Windows xp)变体2"	13114	d:80229	r:80229
"Microsoft SMB Client Negotiate Protocol Request Max Buffer Size缓冲区溢出攻击"	13115	d:80230	r:80230
"Microsoft SMB Client Trans2 Malformed Response缓冲区溢出攻击"	13116	d:80231	r:80231
"BackOrifice 2000木马连接操作v1.1"	13117	d:80232	r:80232
"FTP口令穷举探测"	13118	d:13457	r:13457
"微软IIS红色代码蠕虫root.exe访问"	13119	d:13458	NONE
"微软IIS红色代码蠕虫root.exe访问1"	13120	d:13459	NONE
"微软IIS红色代码蠕虫cmd.exe访问"	13121	d:13460	NONE
"微软IIS红色代码蠕虫cmd.exe访问1"	13122	d:13461	NONE
"微软IIS红色代码蠕虫cmd.exe访问2"	13123	d:13462	NONE
"Ipswitch IMail服务LDAP守护进程远程缓冲区溢出漏洞"	13124	d:13463	NONE
"TCP_Microsoft_PCT协议远程缓冲区溢出漏洞攻击[MS04-011]"	13125	d:13464	NONE
"TCP_MS_IIS_SSL_远程拒绝服务攻击"	13126	d:13465	NONE
"TCP_SSH版本探测攻击"	13127	d:13466	NONE
"微软IE浏览器iepeers.dll远程代码执行漏洞攻击"	13128	d:13467	NONE
"Mac OS X PPC Shell Setuid-B-r00t(TCP)溢出攻击"	13129	d:13468	r:13468
"Mac OS X PPC Shell Setuid-B-r00t(UDP)溢出攻击"	13130	d:13469	r:13469
"Mac OS X PPC Xterm Execution-B-r00t(TCP)溢出攻击"	13131	d:13470	r:13470
"Mac OS X PPC Xterm Execution-B-r00t(UDP)溢出攻击"	13132	d:13471	r:13471
"SCO OpenServer x86 Shell-minervini(TCP)溢出攻击"	13133	d:13472	r:13472
"SCO OpenServer x86 Shell-minervini(UDP)溢出攻击"	13134	d:13473	r:13473
"Solaris SPARC Bind Shell-metasploit(TCP)溢出攻击"	13135	d:13474	r:13474
"Solaris SPARC Bind Shell-metasploit(UDP)溢出攻击"	13136	d:13475	r:13475
"Solaris x86 Bind Shell-metasploit(TCP)溢出攻击"	13137	d:13476	r:13476
"Solaris x86 Bind Shell-metasploit(UDP)溢出攻击"	13138	d:13477	r:13477
"Solaris SPARC FindSock Shell-metasploit(TCP)溢出攻击"	13139	d:13478	r:13478
"Solaris SPARC FindSock Shell-metasploit(UDP)溢出攻击"	13140	d:13479	r:13479
"BSDi-x86 Shell(TCP)溢出攻击"	13141	d:13480	NONE
"BSDi-x86 Shell(UDP)溢出攻击"	13142	d:13481	r:13481
"x86 OSXPPCLongXor解密器(UDP)溢出攻击"	13143	d:13482	r:13482
"x86 QuackQuack解密器(UDP)溢出攻击"	13144	d:13483	r:13483
"x86 Sparc解密器(TCP)溢出攻击"	13145	d:13484	NONE
"x86 Sparc解密器(UDP)溢出攻击"	13146	d:13485	r:13485
"x86 JmpCallAdditive解密器(TCP)溢出攻击"	13147	d:13486	NONE
"x86 JmpCallAdditive解密器(UDP)溢出攻击"	13148	d:13487	r:13487
"x86 Pex解密器(TCP)溢出攻击"	13149	d:13488	NONE
"x86 Pex解密器(UDP)溢出攻击"	13150	d:13489	r:13489
"x86 Alpha2解密器(TCP)溢出攻击"	13151	d:13490	NONE
"x86 Alpha2解密器(UDP)溢出攻击"	13152	d:13491	r:13491
"x86 PexAlphaNum解密器(TCP)溢出攻击"	13153	d:13492	NONE
"x86 PexAlphaNum解密器(UDP)溢出攻击"	13154	d:13493	r:13493
"x86 PexFnstenMov/PexFnstenvSub解密器(TCP)溢出攻击"	13155	d:13494	NONE
"x86 PexFnstenMov/PexFnstenvSub解密器(UDP)溢出攻击"	13156	d:13495	r:13495
"x86 ShikataGaNai解密器(TCP)溢出攻击"	13157	d:13496	NONE
"x86 ShikataGaNai解密器(UDP)溢出攻击"	13158	d:13497	r:13497
"AIX bin sh-Georgi Guninski(TCP)溢出攻击"	13159	d:13498	r:13498
"AIX bin sh-Georgi Guninski(UDP)溢出攻击"	13160	d:13499	r:13499
"BSD SPARC Bind Shell-metasploit(TCP)溢出攻击"	13161	d:13500	r:13500
"BSD SPARC Bind Shell-metasploit(UDP)溢出攻击"	13162	d:13501	r:13501
"BSD x86 Bind Shell(31337)-no1(TCP)溢出攻击"	13163	d:13502	r:13502
"BSD x86 Bind Shell(31337)-no1(UDP)溢出攻击"	13164	d:13503	r:13503
"BSD x86 Bind Shell-metasploit(TCP)溢出攻击"	13165	d:13504	r:13504
"BSD x86 Bind Shell-metasploit(UDP)溢出攻击"	13166	d:13505	r:13505
"BSD x86 Bind Shell(random)-MayheM(TCP)溢出攻击"	13167	d:13506	r:13506
"BSD x86 Bind Shell(random)-MayheM(UDP)溢出攻击"	13168	d:13507	r:13507
"BSD x86 Bind Stage-metasploit(TCP)溢出攻击"	13169	d:13508	r:13508
"BSD x86 Bind Stage-metasploit(UDP)溢出攻击"	13170	d:13509	r:13509
"BSD x86 chroot()-s0t4ipv6(TCP)溢出攻击"	13171	d:13510	r:13510
"BSD x86 chroot()-s0t4ipv6(UDP)溢出攻击"	13172	d:13511	r:13511
"BSD x86 Execute-metasploit(TCP)溢出攻击"	13173	d:13512	r:13512
"BSD x86 Execute-metasploit(UDP)溢出攻击"	13174	d:13513	r:13513
"BSD x86 FindRecv Shell-metasploit(TCP)溢出攻击"	13175	d:13514	r:13514
"BSD x86 FindRecv Shell-metasploit(UDP)溢出攻击"	13176	d:13515	r:13515
"BSD x86 FindRecv Stage- metasploit(TCP)溢出攻击"	13177	d:13516	r:13516
"BSD x86 FindRecv Stage- metasploit(UDP)溢出攻击"	13178	d:13517	r:13517
"Linux x86 Reverse Connect Shell Metasploit(TCP)溢出攻击"	13179	d:13518	r:13518
"Linux x86 Reverse Connect Shell Metasploit(UDP)溢出攻击"	13180	d:13519	r:13519
"Linux x86 Reverse Connect Stage Metasploit(TCP)溢出攻击"	13181	d:13520	r:13520
"Linux x86 Reverse Connect Stage Metasploit(UDP)溢出攻击"	13182	d:13521	r:13521
"Linux x86 Reverse Connect Shell Metasploit(TCP)溢出攻击"	13183	d:13522	r:13522
"Linux x86 Reverse Connect Shell Metasploit(UDP)溢出攻击"	13184	d:13523	r:13523
"Linux MIPS Shell-core(TCP)溢出攻击"	13185	d:13524	r:13524
"Linux MIPS Shell-core(UDP)溢出攻击"	13186	d:13525	r:13525
"Linux PPC Shell-core(TCP)溢出攻击"	13187	d:13526	r:13526
"Linux PPC Shell-core(UDP)溢出攻击"	13188	d:13527	r:13527
"Linux PPC Shell-palante(TCP)溢出攻击"	13189	d:13528	r:13528
"Linux PPC Shell-palante(UDP)溢出攻击"	13190	d:13529	r:13529
"FreeBSD kldload加载内核(TCP)溢出攻击"	13191	d:13530	NONE
"FreeBSD kldload加载内核(UDP)溢出攻击"	13192	d:13531	r:13531
"FreeBSD chown-chmod-exec(TCP)溢出攻击"	13193	d:13532	NONE
"FreeBSD chown-chmod-exec(UDP)溢出攻击"	13194	d:13533	r:13533
"FreeBSD x86 Shell-marcetam(TCP)溢出攻击"	13195	d:13534	NONE
"FreeBSD x86 Shell-marcetam(UDP)溢出攻击"	13196	d:13535	r:13535
"FreeBSD x86 Shell-preetador(TCP)溢出攻击"	13197	d:13536	NONE
"FreeBSD x86 Shell-preetador(UDP)溢出攻击"	13198	d:13537	r:13537
"HP-UX PA-RISC Shell-k2(TCP)溢出攻击"	13199	d:13538	NONE
"HP-UX PA-RISC Shell-k2(UDP)溢出攻击"	13200	d:13539	r:13539
"IRIX MIPS Shell(TCP)溢出攻击"	13201	d:13540	NONE
"IRIX MIPS Shell(UDP)溢出攻击"	13202	d:13541	r:13541
"Linux x86添加用户(TCP)溢出攻击p"	13203	d:13542	NONE
"Linux x86添加用户(UDP)溢出攻击"	13204	d:13543	r:13543
"Linux SPARC端口绑定killah(TCP)溢出攻击"	13205	d:13544	NONE
"Linux SPARC端口绑定killah(UDP)溢出攻击"	13206	d:13545	r:13545
"Linux SPARC端口绑定metasploit(TCP)溢出攻击"	13207	d:13546	NONE
"Linux SPARC端口绑定metasploit(UDP)溢出攻击"	13208	d:13547	r:13547
"Linux x86端口绑定metasploit(TCP)溢出攻击"	13209	d:13548	NONE
"Linux x86端口绑定metasploit(UDP)溢出攻击"	13210	d:13549	r:13549
"Solaris x86 FindSock Shell metasploi(TCP)溢出攻击"	13211	d:13550	r:13550
"Solaris x86 FindSock Shell metasploi(UDP)溢出攻击"	13212	d:13551	r:13551
"Solaris SPARC Reverse Connect Shell-metasploit(TCP)溢出攻击"	13213	d:13552	r:13552
"Solaris SPARC Reverse Connect Shell-metasploit(UDP)溢出攻击"	13214	d:13553	r:13553
